Tempo;Geracao_diaria_real_i1;Geracao_diaria_real_i2;Geracao_diaria_real_i3;meta_diaria;meta_mensal;soma_dos_inv;inv_1;inv_2;inv_3;maior_entre_1_e_2;65%_do_menor;diferenca_entre_a_geracao_real_e_prevista;valor_previsto_para_o_inv_3;valor maior entre 1 e 2;95%_do_maior;kwh _desperdicado
01/01/2022;0;0;0;392.8;12177;0;0;0;0;0;0;0;0;0;0;0
02/01/2022;0;0;0;392.8;12177;0;0;0;0;0;0;0;0;0;0;0
03/01/2022;0;0;0;392.8;12177;0;0;0;0;0;0;0;0;0;0;0
04/01/2022;0;0;0;392.8;12177;0;0;0;0;0;0;0;0;0;0;0
05/01/2022;0;0;0;392.8;12177;0;0;0;0;0;0;0;0;0;0;0
06/01/2022;0;0;0;392.8;12177;0;0;0;0;0;0;0;0;0;0;0
07/01/2022;0;0;0;392.8;12177;0;0;0;0;0;0;0;0;0;0;0
08/01/2022;0;0;0;392.8;12177;0;0;0;0;0;0;0;0;0;0;0
09/01/2022;0;0;0;392.8;12177;0;0;0;0;0;0;0;0;0;0;0
10/01/2022;0;0;0;392.8;12177;0;0;0;0;0;0;0;0;0;0;0
11/01/2022;0;0;0;392.8;12177;0;0;0;0;0;0;0;0;0;0;0
12/01/2022;53;0;39.1;392.8;12177;92.1;53;0;39.1;53;34.45;0;39.1;53;50.35;50.35
13/01/2022;160.2;116.1;107.2;392.8;12177;383.5;160.2;116.1;107.2;160.2;104.13;0;107.2;160.2;152.19;36.09
14/01/2022;93.2;93.1;68.6;392.8;12177;254.9;93.2;93.1;68.6;93.2;60.58;0;68.6;93.2;88.54;0
15/01/2022;70.7;0;51.8;392.8;12177;122.5;70.7;0;51.8;70.7;45.955;0;51.8;70.7;67.165;67.165
16/01/2022;65.8;0;48.7;392.8;12177;114.5;65.8;0;48.7;65.8;42.77;0;48.7;65.8;62.51;62.51
17/01/2022;144;0;105.5;392.8;12177;249.5;144;0;105.5;144;93.6;0;105.5;144;136.8;136.8
18/01/2022;164;0;120.1;392.8;12177;284.1;164;0;120.1;164;106.6;0;120.1;164;155.8;155.8
19/01/2022;157.5;0;116.4;392.8;12177;273.9;157.5;0;116.4;157.5;102.375;0;116.4;157.5;149.625;149.625
20/01/2022;136.8;0;100.2;392.8;12177;237;136.8;0;100.2;136.8;88.92;0;100.2;136.8;129.96;129.96
21/01/2022;164.5;0;119.6;392.8;12177;284.1;164.5;0;119.6;164.5;106.925;0;119.6;164.5;156.275;156.275
22/01/2022;97.5;0;71.1;392.8;12177;168.6;97.5;0;71.1;97.5;63.375;0;71.1;97.5;92.625;92.625
23/01/2022;171.3;0;124.4;392.8;12177;295.7;171.3;0;124.4;171.3;111.345;0;124.4;171.3;162.735;162.735
24/01/2022;148.9;0;109.5;392.8;12177;258.4;148.9;0;109.5;148.9;96.785;0;109.5;148.9;141.455;141.455
25/01/2022;94.3;0;69.7;392.8;12177;164;94.3;0;69.7;94.3;61.295;0;69.7;94.3;89.585;89.585
26/01/2022;132.8;37.7;96.7;392.8;12177;267.2;132.8;37.7;96.7;132.8;86.32;0;96.7;132.8;126.16;88.46
27/01/2022;69.1;71.3;51.1;392.8;12177;191.5;69.1;71.3;51.1;71.3;46.345;0;51.1;71.3;67.735;0
28/01/2022;68.1;70;50.4;392.8;12177;188.5;68.1;70;50.4;70;45.5;0;50.4;70;66.5;0
29/01/2022;113.1;108.7;83.5;392.8;12177;305.3;113.1;108.7;83.5;113.1;73.515;0;83.5;113.1;107.445;0
30/01/2022;45.7;46.5;34.1;392.8;12177;126.3;45.7;46.5;34.1;46.5;30.225;0;34.1;46.5;44.175;0
31/01/2022;60;60.5;39.7;392.8;12177;160.2;60;60.5;39.7;60.5;39.325;0;39.7;60.5;57.475;0
01/02/2022;107.3;97.8;78.7;439.4;12303;283.8;107.3;97.8;78.7;107.3;69.745;0;78.7;107.3;101.935;4.135
02/02/2022;151.6;149.9;110.1;439.4;12303;411.6;151.6;149.9;110.1;151.6;98.54;0;110.1;151.6;144.02;0
03/02/2022;157.2;149.4;114.9;439.4;12303;421.5;157.2;149.4;114.9;157.2;102.18;0;114.9;157.2;149.34;0
04/02/2022;115.5;100.7;83.9;439.4;12303;300.1;115.5;100.7;83.9;115.5;75.075;0;83.9;115.5;109.725;9.025
05/02/2022;152.4;151.3;111.5;439.4;12303;415.2;152.4;151.3;111.5;152.4;99.06;0;111.5;152.4;144.78;0
06/02/2022;179.7;139.7;131.2;439.4;12303;450.6;179.7;139.7;131.2;179.7;116.805;0;131.2;179.7;170.715;31.015
07/02/2022;158.5;119.3;115.5;439.4;12303;393.3;158.5;119.3;115.5;158.5;103.025;0;115.5;158.5;150.575;31.275
08/02/2022;139.9;135.1;102.4;439.4;12303;377.4;139.9;135.1;102.4;139.9;90.935;0;102.4;139.9;132.905;0
09/02/2022;149.5;126.7;108.9;439.4;12303;385.1;149.5;126.7;108.9;149.5;97.175;0;108.9;149.5;142.025;15.325
10/02/2022;157.4;131.2;114.8;439.4;12303;403.4;157.4;131.2;114.8;157.4;102.31;0;114.8;157.4;149.53;18.33
11/02/2022;58.6;60.3;42.6;439.4;12303;161.5;58.6;60.3;42.6;60.3;39.195;0;42.6;60.3;57.285;0
12/02/2022;0;0;0;439.4;12303;0;0;0;0;0;0;0;0;0;0;0
13/02/2022;0;0;0;439.4;12303;0;0;0;0;0;0;0;0;0;0;0
14/02/2022;0;0;0;439.4;12303;0;0;0;0;0;0;0;0;0;0;0
15/02/2022;11.3;10.8;8.1;439.4;12303;30.2;11.3;10.8;8.1;11.3;7.345;0;8.1;11.3;10.735;0
16/02/2022;114;115;83.1;439.4;12303;312.1;114;115;83.1;115;74.75;0;83.1;115;109.25;0
17/02/2022;67.3;66.8;49.1;439.4;12303;183.2;67.3;66.8;49.1;67.3;43.745;0;49.1;67.3;63.935;0
18/02/2022;109.4;105.8;79.9;439.4;12303;295.1;109.4;105.8;79.9;109.4;71.11;0;79.9;109.4;103.93;0
19/02/2022;57.1;58.4;41.8;439.4;12303;157.3;57.1;58.4;41.8;58.4;37.96;0;41.8;58.4;55.48;0
20/02/2022;0;0;0;439.4;12303;0;0;0;0;0;0;0;0;0;0;0
